1102.53	141.111
1104.16	148.667
1105.78	139.111
1107.41	139.556
1109.03	144.889
1110.66	141.778
1112.28	137.111
1113.91	142.222
1115.53	146.667
1117.15	138.444
1118.78	140.222
1120.4	142
1122.02	145.556
1123.64	132.222
1125.26	146.889
1126.88	142.667
1128.51	138.889
1130.12	139.111
1131.75	138.667
1133.36	144.222
1134.98	143.556
1136.6	147.111
1138.22	144.222
1139.84	147.111
1141.45	138.667
1143.07	139.778
1144.69	147.111
1146.3	140
1147.92	140.889
1149.53	139.333
1151.15	153.778
1152.76	148
1154.38	149.556
1155.99	142.889
1157.6	137.778
1159.21	142
1160.83	151.111
1162.44	149.111
1164.05	146.222
1165.66	141.333
1167.27	148.222
1168.88	145.333
1170.49	147.556
1172.1	149.556
1173.71	153.778
1175.32	148.444
1176.93	152.222
1178.54	155.556
1180.14	150.667
1181.75	153.111
1183.36	142
1184.96	152.444
1186.57	152.222
1188.17	148.444
1189.78	149.333
1191.38	147.556
1192.99	151.111
1194.59	154
1196.2	156.667
1197.8	152.889
1199.4	149.556
1201	148.444
1202.6	156.444
1204.21	156.444
1205.81	158.667
1207.41	151.333
1209.01	150.667
1210.61	154
1212.21	154.667
1213.81	149.333
1215.4	150
1217	154.889
1218.6	147.333
1220.2	147.778
1221.79	149.556
1223.39	153.333
1224.99	150
1226.58	155.556
1228.18	154.889
1229.77	156
1231.37	154.667
1232.96	147.333
1234.56	150.444
1236.15	157.111
1237.74	154.667
1239.33	163.111
1240.93	152.889
1242.52	152
1244.11	155.333
1245.7	148.667
1247.29	159.778
1248.88	154.889
1250.47	156.444
1252.06	150.444
1253.65	146.889
1255.24	146.889
1256.83	154.889
1258.41	152
1260	148.222
1261.59	150
1263.17	155.111
1264.76	156.889
1266.34	160.889
1267.93	150.667
1269.52	157.111
1271.1	156.222
1272.69	162.889
1274.27	150.667
1275.85	158.889
1277.43	158.222
1279.02	157.111
1280.6	163.111
1282.18	166.444
1283.76	164.444
1285.34	160.667
1286.92	164
1288.5	166
1290.08	170.222
1291.66	163.778
1293.24	166.444
1294.82	166.222
1296.4	166
1297.98	165.333
1299.55	175.556
1301.13	174.889
1302.71	176.222
1304.28	170.222
1305.86	173.333
1307.43	178.889
1309.01	178.889
1310.58	180.667
1312.16	175.111
1313.73	178.444
1315.3	182
1316.88	178.667
1318.45	191.778
1320.02	188.222
1321.59	185.778
1323.16	185.333
1324.74	200.889
1326.31	192.444
1327.88	199.556
1329.45	194.889
1331.02	203.111
1332.58	197.778
1334.15	208
1335.72	205.556
1337.29	213.333
1338.86	213.556
1340.42	211.333
1341.99	214
1343.56	211.778
1345.12	211.556
1346.69	208.889
1348.25	217.556
1349.82	208.444
1351.38	213.778
1352.94	214.222
1354.51	212.889
1356.07	202.444
1357.63	207.111
1359.2	204.222
1360.76	208.444
1362.32	200.222
1363.88	209.111
1365.44	195.778
1367	194.889
1368.56	202
1370.12	187.778
1371.68	188.222
1373.24	191.556
1374.8	184.222
1376.35	177.111
1377.91	183.556
1379.47	177.333
1381.02	177.111
1382.58	178.667
1384.14	179.111
1385.69	180.444
1387.25	179.556
1388.8	178.667
1390.36	181.778
1391.91	166.667
1393.46	173.333
1395.02	171.333
1396.57	178.889
1398.12	170.889
1399.67	171.111
1401.22	168.889
1402.78	174.667
1404.33	168
1405.88	169.111
1407.43	171.556
1408.97	166.667
1410.52	172.889
1412.07	174.667
1413.62	173.333
1415.17	174.889
1416.72	175.111
1418.26	172.667
1419.81	173.556
1421.36	175.556
1422.9	170.222
1424.45	172.667
1425.99	171.111
1427.54	170
1429.08	161.333
1430.63	164.667
1432.17	172
1433.71	166.889
1435.26	169.333
1436.8	166
1438.34	170.444
1439.88	165.778
1441.42	167.111
1442.96	171.556
1444.5	170
1446.04	168.889
1447.58	167.556
1449.12	168.444
1450.66	162.222
1452.2	164.889
1453.74	170.444
1455.28	171.111
1456.81	181.556
1458.35	175.556
1459.89	167.333
1461.42	164.444
1462.96	170.444
1464.49	164.889
1466.03	161.111
1467.56	160.444
1469.1	168.667
1470.63	166.444
1472.16	164.667
1473.7	163.778
1475.23	169.111
1476.76	160.889
1478.29	168.222
1479.82	167.333
1481.35	164
1482.88	164.222
1484.41	170.222
1485.94	170.222
1487.47	161.111
1489	174.667
1490.53	164.222
1492.06	164.667
1493.59	171.111
1495.11	167.556
1496.64	163.333
1498.17	169.556
1499.69	170.444
1501.22	172.889
1502.74	171.778
1504.27	168.667
1505.79	171.556
1507.32	165.556
1508.84	166.444
1510.36	171.333
1511.89	168.667
1513.41	177.556
1514.93	172.889
1516.45	171.556
1517.98	170.444
1519.5	180
1521.02	184.222
1522.54	176.667
1524.06	176.444
1525.58	178.889
1527.1	174.667
1528.62	176.444
1530.13	180.444
1531.65	177.556
1533.17	179.556
1534.69	186.444
1536.2	185.778
1537.72	180.444
1539.23	184.222
1540.75	180.222
1542.27	190
1543.78	187.111
1545.29	192.444
1546.81	189.556
1548.32	191.778
1549.83	186.667
1551.35	201.333
1552.86	202.889
1554.37	205.333
1555.88	206.667
1557.39	222
1558.91	214.889
1560.42	209.333
1561.93	216.444
1563.44	216.444
1564.95	230.667
1566.45	231.556
1567.96	233.556
1569.47	249.778
1570.98	264.889
1572.49	277.111
1573.99	291.333
1575.5	308.889
1577.01	307.333
1578.51	328.444
1580.02	318
1581.52	315.111
1583.03	307.111
1584.53	291.556
1586.03	270.222
1587.54	268
1589.04	250.667
1590.54	250.889
1592.04	239.778
1593.55	232.667
1595.05	225.556
1596.55	220
1598.05	217.556
1599.55	221.556
1601.05	210.444
1602.55	205.556
1604.05	212.222
1605.55	201.778
1607.04	202.444
1608.54	208
1610.04	208
1611.54	206.222
1613.03	206.889
1614.53	196.222
1616.03	205.556
1617.52	194.889
1619.02	195.111
1620.51	194.444
1622.01	192.222
1623.5	197.333
1624.99	188.222
1626.49	190.444
1627.98	187.778
1629.47	184.222
1630.96	185.333
1632.46	188.222
1633.95	185.333
1635.44	187.111
1636.93	182
1638.42	180.667
1639.91	172.667
1641.4	184.667
1642.89	177.778
1644.37	177.333
1645.86	178
1647.35	176.889
1648.84	178.222
1650.32	179.333
1651.81	176.222
1653.3	178
1654.78	184
1656.27	175.556
1657.75	178.667
1659.24	188.667
1660.72	180.667
1662.21	177.333
1663.69	176.667
1665.17	172.667
1666.66	181.556
1668.14	181.111
1669.62	180.444
1671.1	183.778
1672.58	179.333
1674.06	179.778
1675.54	190.444
1677.02	174.444
1678.5	180.444
1679.98	187.333
1681.46	180
1682.94	184.444
1684.42	180.889
1685.89	181.556
1687.37	186.222
1688.85	184.222
1690.32	182.222
1691.8	177.556
1693.28	181.333
1694.75	184.222
1696.23	182.889
1697.7	184.444
1699.18	182

